name	group	protein (g)	calcium (g)	sodium (g)	fiber (g)	vitaminc (g)	potassium (g)	carbohydrate (g)	sugars (g)	fat (g)	water (g)	calories	saturated (g)	monounsat (g)	polyunsat (g)	id
Cereals, QUAKER, corn grits, instant, cheddar cheese flavor, dry	Breakfast Cereals	8.37	0.046	1.865	4.2	0	0.17	73.08	2.13	5.97	7.6	366	1.76	1.57	0.87	29780
Cereals, QUAKER, corn grits, instant, cheddar cheese flavor, prepared with water	Breakfast Cereals	1.6	0.011	0.358	0.8	0	0.033	14.01	0.41	1.1	82.26	72	0.308	0.284	0.142	29781
Cereals, QUAKER, corn grits, instant, country bacon (imitation bacon bits), prepared with water	Breakfast Cereals	1.92	0.004	0.293	1	0	0.04	14.61	0.07	0.33	82.2	69	0.044	0.077	0.167	29782
Cereals, QUAKER, corn grits, instant, plain, dry	Breakfast Cereals	7.31	0.378	1.05	4.2	0	0.163	76.02	1.51	2.14	10.35	359	0.362	0.395	0.967	29783
Cereals, QUAKER, corn grits, instant, plain, prepared (microwaved or boiling water added), without salt	Breakfast Cereals	1.58	0.064	0.188	1.1	0	0.034	15.95	0.1	0.49	81.22	76	0.076	0.081	0.191	29784
Cereals, QUAKER, corn grits, instant, with imitation bacon bits, dry	Breakfast Cereals	9.85	0.038	1.219	5.3	0	0.252	77.35	0.27	1.65	7.3	349	0.24	0.42	0.64	29785
Cereals, QUAKER, farina, Creamy Wheat, enriched, dry	Breakfast Cereals	10.82	0.012	0.002	2.9	0	0.098	76.13	0.3	0.95	11.66	349	0.24	0.08	0.48	29786
Cereals, QUAKER, hominy grits, white, quick, dry	Breakfast Cereals	8.53	0.004	0.002	4.8	0	0.146	79.16	1	1.36	10.48	347	0.26	0.2	0.68	29788
Cereals, QUAKER, hominy grits, white, regular, dry	Breakfast Cereals	8.53	0.004	0.002	4.8	0	0.146	79.16	1	1.36	10.48	347	0.26	0.2	0.68	29789
Cereals, QUAKER, hominy grits, yellow, quick, dry	Breakfast Cereals	8.26	0.004	0.002	5.6	0	0.167	77.76	1.08	1.66	11.74	337	0.45	0.55	0.71	29790
Cereals, WHEATENA, cooked with water, with salt	Breakfast Cereals	2.03	0.006	0.238	2	0	0.077	11.74	0.25	0.45	85.4	59	0.091	0.067	0.24	29802
Cereals, WHEATENA, dry	Breakfast Cereals	13.1	0.028	0.013	12.8	0	0.492	75.6	1.6	2.9	6.5	357	0.43	0.41	1.46	29803
Cereals, corn grits, white, regular and quick, enriched, cooked with water, with salt	Breakfast Cereals	1.71	0.001	0.223	0.8	0	0.027	14.76	0.12	0.46	82.93	71	0.066	0.064	0.165	29804
Cereals, corn grits, white, regular and quick, enriched, cooked with water, without salt	Breakfast Cereals	1.71	0.001	0.002	0.8	0	0.027	14.76	0.12	0.46	82.93	71	0.066	0.064	0.165	29805
Cereals, corn grits, white, regular and quick, enriched, dry	Breakfast Cereals	7.65	0.004	0.001	4.6	0	0.141	79.09	0.57	1.75	10.92	370	0.34	0.315	0.875	29806
Cereals, corn grits, white, regular and quick, unenriched, cooked with water, without salt	Breakfast Cereals	1.42	0.003	0.002	0.3	0	0.021	12.87	0.1	0.19	85.35	59	0.025	0.048	0.083	29807
Cereals, corn grits, white, regular and quick, unenriched, dry	Breakfast Cereals	8.8	0.002	0.001	1.6	0	0.137	79.6	0.64	1.2	10	371	0.155	0.3	0.516	29808
Cereals, corn grits, yellow, regular and quick, enriched, cooked with water, without salt	Breakfast Cereals	1.23	0.001	0.002	0.7	0	0.022	13.86	0.09	0.39	84.36	65	0.06	0.062	0.13	29810
Cereals, corn grits, yellow, regular and quick, enriched, dry	Breakfast Cereals	6.72	0.004	0.002	3.9	0	0.118	79.91	0.55	1.49	11.37	368	0.29	0.31	0.72	29811
Cereals, corn grits, yellow, regular and quick, unenriched, cooked with water, without salt	Breakfast Cereals	1.42	0.003	0.002	0.3	0	0.021	12.87	0.1	0.19	85.35	59	0.025	0.048	0.083	29812
Cereals, corn grits, yellow, regular and quick, unenriched, dry	Breakfast Cereals	8.8	0.002	0.001	1.6	0	0.137	79.6	0.64	1.2	10	371	0.155	0.3	0.516	29813
Cereals, corn grits, yellow, regular, quick, enriched, cooked with water, with salt	Breakfast Cereals	1.23	0.001	0.223	0.7	0	0.022	13.86	0.09	0.39	84.36	65	0.06	0.062	0.13	29814
Cereals, corn grits, yellow, regular, quick, unenriched, cooked with water, with salt	Breakfast Cereals	1.42	0.003	0.223	0.3	0	0.021	12.87	0.1	0.19	85.35	59	0.025	0.048	0.083	29815
Cereals, farina, enriched, assorted brands including CREAM OF WHEAT, quick (1-3 minutes), cooked with water, without salt	Breakfast Cereals	1.82	0.097	0.018	0.8	0	0.023	10.92	0.76	0.34	86.55	55	0.066	0.038	0.126	29816
Cereals, farina, enriched, assorted brands including CREAM OF WHEAT, quick (1-3 minutes), dry	Breakfast Cereals	11.6	0.711	0.124	4.2	0	0.153	73.19	0.56	1.41	11.08	360	0.232	0.15	0.627	29817
Cereals, farina, enriched, cooked with water, with salt	Breakfast Cereals	1.82	0.097	0.126	0.8	0	0.023	10.92	0.76	0.34	86.55	53	0.066	0.038	0.126	29818
Cereals, farina, enriched, cooked with water, without salt	Breakfast Cereals	1.82	0.097	0.018	0.8	0	0.023	10.92	0.76	0.34	86.55	53	0.066	0.038	0.126	29819
Cereals, oats, instant, fortified, plain, dry	Breakfast Cereals	12.72	0.352	0.278	10	0	0.359	67.55	1.51	6.25	10.37	375	1.537	2.129	2.426	29821
Cereals, oats, instant, fortified, plain, prepared with water (boiling water added or microwaved)	Breakfast Cereals	2.37	0.08	0.049	1.7	0	0.061	11.67	0.46	1.36	84.03	68	0.267	0.37	0.422	29822
Cereals, oats, instant, fortified, with cinnamon and spice, dry	Breakfast Cereals	8.59	0.239	0.482	6.6	0.0001	0.251	76.97	33.7	4.67	6.56	370	0.808	1.67	1.38	29823
Cereals, oats, instant, fortified, with cinnamon and spice, prepared with water	Breakfast Cereals	2.4	0.069	0.135	1.8	0	0.07	21.52	9.42	1.31	73.8	107	0.226	0.467	0.386	29824
Cereals, oats, instant, fortified, with raisins and spice, dry	Breakfast Cereals	7.76	0.256	0.485	6.2	0.0007	0.361	76.31	36.31	4.27	8.23	360	0.8	1.49	1.34	29825
Cereals, oats, instant, fortified, with raisins and spice, prepared with water	Breakfast Cereals	2.07	0.07	0.151	1.6	0.0002	0.096	20.32	9.67	1.14	75.49	100	0.198	0.397	0.357	29826
Cereals, oats, regular and quick and instant, not fortified, dry	Breakfast Cereals	13.15	0.052	0.006	10.1	0	0.362	67.7	0.99	6.52	10.84	379	1.11	1.98	2.3	29827
Cereals, oats, regular and quick and instant, unenriched, cooked with water (includes boiling and microwaving), with salt	Breakfast Cereals	2.54	0.009	0.071	1.7	0	0.07	12	0.27	1.52	83.61	71	0.31	0.435	0.559	29828
Cereals, oats, regular and quick and instant, unenriched, cooked with water (includes boiling and microwaving), without salt	Breakfast Cereals	2.54	0.009	0.004	1.7	0	0.07	12	0.27	1.52	83.61	71	0.31	0.435	0.559	29829
Cereals, ready-to-eat, ALPEN	Breakfast Cereals	11.2	0.147	0.213	9.1	0.0087	0.568	75.7	20	3.3	7.4	352	0.496	1.327	0.925	29830
Cereals, ready-to-eat, KELLOGG, KELLOGG'S CINNABON cereal	Breakfast Cereals	5.7	0.026	0.385	3.9	0.065	0.129	83.3	41.6	7	2.5	410	1	3	1.4	29831
Cereals, whole wheat hot natural cereal, cooked with water, with salt	Breakfast Cereals	2	0.007	0.233	1.6	0	0.071	13.7	0.08	0.4	83.6	62	0.06	0.057	0.202	29832
Cereals, whole wheat hot natural cereal, cooked with water, without salt	Breakfast Cereals	2	0.007	0	1.6	0	0.071	13.7	0.08	0.4	83.6	62	0.06	0.057	0.202	29833
Cereals, whole wheat hot natural cereal, dry	Breakfast Cereals	11.2	0.04	0.002	9.5	0	0.389	75.2	0.42	2	9.9	342	0.3	0.283	1.008	29834
KASHI GOLEAN Crisp Toasted Berry Crumble	Breakfast Cereals	17.8	0.137	0.244	14.9	0	0.321	68.4	20.9	8	4	368	1	3.6	2.4	29836
Milk and cereal bar	Breakfast Cereals	6.47	0.41	0.319	0.4	0.0154	0.254	72.05	45.97	10.98	8.69	413	9.114	1.186	0.239	29837
Millet, puffed	Breakfast Cereals	13	0.008	0.005	2.7	0	0.04	80	0.55	3.4	2.5	354	0.67	0.717	1.98	29838
Acerola juice, raw	Fruits and Fruit Juices	0.4	0.01	0.003	0.3	1.6	0.097	4.8	4.5	0.3	94.3	23	0.068	0.082	0.09	29841
Apple juice, canned or bottled, unsweetened, with added ascorbic acid	Fruits and Fruit Juices	0.1	0.008	0.004	0.2	0.0385	0.101	11.3	9.62	0.13	88.24	46	0.022	0.006	0.039	29843
Apple juice, canned or bottled, unsweetened, without added ascorbic acid	Fruits and Fruit Juices	0.1	0.008	0.004	0.2	0.0009	0.101	11.3	9.62	0.13	88.24	46	0.022	0.006	0.039	29844
Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water without added ascorbic acid	Fruits and Fruit Juices	0.14	0.006	0.007	0.1	0.0006	0.126	11.54	10.93	0.1	87.9	47	0.018	0.002	0.031	29845
Apple juice, frozen concentrate, unsweetened, undiluted, without added ascorbic acid	Fruits and Fruit Juices	0.51	0.02	0.025	0.4	0.0021	0.448	41	38.83	0.37	57	166	0.06	0.015	0.108	29848
Apples, canned, sweetened, sliced, drained, heated	Fruits and Fruit Juices	0.18	0.004	0.003	2	0.0002	0.07	16.84	14.84	0.43	82.28	67	0.07	0.017	0.126	29849
Apples, canned, sweetened, sliced, drained, unheated	Fruits and Fruit Juices	0.18	0.004	0.003	1.7	0.0004	0.068	16.7	15	0.49	82.36	67	0.08	0.02	0.144	29850
Apples, dehydrated (low moisture), sulfured, uncooked	Fruits and Fruit Juices	1.32	0.019	0.124	12.4	0.0022	0.64	93.53	81.13	0.58	3	346	0.095	0.024	0.171	29852
Apples, dried, sulfured, stewed, without added sugar	Fruits and Fruit Juices	0.22	0.003	0.02	2	0.001	0.105	15.32	13.32	0.07	84.13	57	0.012	0.003	0.022	29854
Apples, dried, sulfured, uncooked	Fruits and Fruit Juices	0.93	0.014	0.087	8.7	0.0039	0.45	65.89	57.19	0.32	31.76	243	0.052	0.013	0.093	29855
Apples, raw, with skin	Fruits and Fruit Juices	0.26	0.006	0.001	2.4	0.0046	0.107	13.81	10.39	0.17	85.56	52	0.028	0.007	0.051	29858
Apples, raw, without skin	Fruits and Fruit Juices	0.27	0.005	0	1.3	0.004	0.09	12.76	10.1	0.13	86.67	48	0.021	0.005	0.037	29859
Apples, raw, without skin, cooked, boiled	Fruits and Fruit Juices	0.26	0.005	0.001	2.4	0.0002	0.088	13.64	11.01	0.36	85.47	53	0.058	0.014	0.104	29860
Apples, raw, without skin, cooked, microwave	Fruits and Fruit Juices	0.28	0.005	0.001	2.8	0.0003	0.093	14.41	11.61	0.42	84.63	56	0.068	0.017	0.122	29861
Applesauce, canned, sweetened, without salt (includes USDA commodity)	Fruits and Fruit Juices	0.16	0.003	0.002	1.2	0.0017	0.075	17.49	14.67	0.17	81.98	68	0.03	0.007	0.054	29863
Applesauce, canned, unsweetened, with added ascorbic acid	Fruits and Fruit Juices	0.17	0.004	0.002	1.1	0.0212	0.074	11.27	9.39	0.1	88.22	42	0.008	0.002	0.014	29864
Applesauce, canned, unsweetened, without added ascorbic acid (includes USDA commodity)	Fruits and Fruit Juices	0.17	0.004	0.002	1.1	0.001	0.074	11.27	9.39	0.1	88.22	42	0.008	0.002	0.014	29865
Apricot nectar, canned, without added ascorbic acid	Fruits and Fruit Juices	0.37	0.007	0.003	0.6	0.0006	0.114	14.39	13.79	0.09	84.87	56	0.006	0.038	0.017	29867
Apricots, canned, heavy syrup pack, with skin, solids and liquids	Fruits and Fruit Juices	0.53	0.009	0.004	1.6	0.0031	0.14	21.47	19.87	0.08	77.56	83	0.005	0.033	0.015	29870
Apricots, canned, heavy syrup, drained	Fruits and Fruit Juices	0.64	0.01	0.004	2.7	0.0031	0.143	21.31	18.65	0.11	77.56	83	0.007	0.045	0.021	29872
Apricots, canned, juice pack, with skin, solids and liquids	Fruits and Fruit Juices	0.63	0.012	0.004	1.6	0.0049	0.165	12.34	10.74	0.04	86.62	48	0.003	0.017	0.007	29873
Apricots, canned, light syrup pack, with skin, solids and liquids	Fruits and Fruit Juices	0.53	0.011	0.004	1.6	0.0027	0.138	16.49	14.89	0.05	82.56	63	0.003	0.021	0.01	29874
Apricots, canned, water pack, with skin, solids and liquids	Fruits and Fruit Juices	0.71	0.008	0.003	1.6	0.0034	0.192	6.39	4.79	0.16	92.36	27	0.011	0.069	0.031	29875
Apricots, dried, sulfured, stewed, without added sugar	Fruits and Fruit Juices	1.2	0.019	0.004	2.6	0.0003	0.411	22.15	19.57	0.18	75.56	85	0.006	0.026	0.026	29880
Apricots, dried, sulfured, uncooked	Fruits and Fruit Juices	3.39	0.055	0.01	7.3	0.001	1.162	62.64	53.44	0.51	30.89	241	0.017	0.074	0.074	29881
Apricots, raw	Fruits and Fruit Juices	1.4	0.013	0.001	2	0.01	0.259	11.12	9.24	0.39	86.35	48	0.027	0.17	0.077	29883
Avocados, raw, California	Fruits and Fruit Juices	1.96	0.013	0.008	6.8	0.0088	0.507	8.64	0.3	15.41	72.33	167	2.126	9.799	1.816	29884
Avocados, raw, Florida	Fruits and Fruit Juices	2.23	0.01	0.002	5.6	0.0174	0.351	7.82	2.42	10.06	78.81	120	1.96	5.513	1.676	29885
Avocados, raw, all commercial varieties	Fruits and Fruit Juices	2	0.012	0.007	6.7	0.01	0.485	8.53	0.66	14.66	73.23	160	2.126	9.799	1.816	29886
Bananas, dehydrated, or banana powder	Fruits and Fruit Juices	3.89	0.022	0.003	9.9	0.007	1.491	88.28	47.3	1.81	3	346	0.698	0.153	0.337	29887
Bananas, raw	Fruits and Fruit Juices	1.09	0.005	0.001	2.6	0.0087	0.358	22.84	12.23	0.33	74.91	89	0.112	0.032	0.073	29888
Blackberries, canned, heavy syrup, solids and liquids	Fruits and Fruit Juices	1.31	0.021	0.003	3.4	0.0028	0.099	23.1	19.7	0.14	75.06	92	0.005	0.014	0.08	29889
Blackberries, frozen, unsweetened	Fruits and Fruit Juices	1.18	0.029	0.001	5	0.0031	0.14	15.67	10.67	0.43	82.21	64	0.015	0.041	0.245	29890
Blackberries, raw	Fruits and Fruit Juices	1.39	0.029	0.001	5.3	0.021	0.162	9.61	4.88	0.49	88.15	43	0.014	0.047	0.28	29891
Blackberry juice, canned	Fruits and Fruit Juices	0.3	0.012	0.001	0.1	0.0113	0.135	7.8	7.7	0.6	90.9	38	0.018	0.058	0.344	29892
Blueberries, canned, heavy syrup, solids and liquids	Fruits and Fruit Juices	0.65	0.005	0.003	1.6	0.0011	0.04	22.06	20.46	0.33	76.78	88	0.027	0.047	0.144	29893
Blueberries, canned, light syrup, drained	Fruits and Fruit Juices	1.04	0.006	0.003	2.6	0.0005	0.054	22.66	17.45	0.4	75.72	88	0.028	0.062	0.19	29894
Blueberries, frozen, sweetened	Fruits and Fruit Juices	0.4	0.006	0.001	2.2	0.001	0.06	21.95	19.72	0.13	77.4	81	0.011	0.018	0.057	29895
Blueberries, frozen, unsweetened	Fruits and Fruit Juices	0.42	0.008	0.001	2.7	0.0025	0.054	12.17	8.45	0.64	86.59	51	0.053	0.091	0.279	29896
Blueberries, raw	Fruits and Fruit Juices	0.74	0.006	0.001	2.4	0.0097	0.077	14.49	9.96	0.33	84.21	57	0.028	0.047	0.146	29897
Boysenberries, frozen, unsweetened	Fruits and Fruit Juices	1.1	0.027	0.001	5.3	0.0031	0.139	12.19	6.89	0.26	85.9	50	0.009	0.025	0.148	29901
Breadfruit, raw	Fruits and Fruit Juices	1.07	0.017	0.002	4.9	0.029	0.49	27.12	11	0.23	70.65	103	0.048	0.034	0.066	29902
Candied fruit	Fruits and Fruit Juices	0.34	0.018	0.098	1.6	0	0.056	82.74	80.68	0.07	16.7	322	0.01	0.008	0.02	29903
Carambola, (starfruit), raw	Fruits and Fruit Juices	1.04	0.003	0.002	2.8	0.0344	0.133	6.73	3.98	0.33	91.38	31	0.019	0.03	0.184	29904
Cherimoya, raw	Fruits and Fruit Juices	1.57	0.01	0.007	3	0.0126	0.287	17.71	12.87	0.68	79.39	75	0.233	0.055	0.188	29906
Cherries, sour, red, canned, heavy syrup pack, solids and liquids	Fruits and Fruit Juices	0.73	0.01	0.007	1.1	0.002	0.093	23.27	22.17	0.1	75.66	91	0.021	0.026	0.029	29908
Cherries, sour, red, canned, water pack, solids and liquids (includes USDA commodity red tart cherries, canned)	Fruits and Fruit Juices	0.77	0.011	0.007	1.1	0.0021	0.098	8.94	7.6	0.1	89.93	36	0.023	0.027	0.03	29910
Cherries, sour, red, frozen, unsweetened	Fruits and Fruit Juices	0.92	0.013	0.001	1.6	0.0017	0.124	11.02	9.02	0.44	87.2	46	0.1	0.12	0.132	29911
Cherries, sour, red, raw	Fruits and Fruit Juices	1	0.016	0.003	1.6	0.01	0.173	12.18	8.49	0.3	86.13	50	0.068	0.082	0.09	29912
Cherries, sweet, canned, juice pack, solids and liquids	Fruits and Fruit Juices	0.91	0.014	0.003	1.5	0.0025	0.131	13.81	12.31	0.02	84.95	54	0.004	0.005	0.006	29914
Cherries, sweet, canned, light syrup pack, solids and liquids	Fruits and Fruit Juices	0.61	0.009	0.003	1.5	0.0037	0.148	17.29	15.79	0.15	81.56	67	0.034	0.042	0.046	29915
Cherries, sweet, canned, pitted, heavy syrup pack, solids and liquids	Fruits and Fruit Juices	0.6	0.009	0.003	1.4	0.0036	0.145	21.27	16.18	0.15	77.61	83	0.034	0.041	0.045	29916
Cherries, sweet, canned, pitted, heavy syrup, drained	Fruits and Fruit Juices	0.73	0.01	0.003	2.3	0.0036	0.148	21.07	16.18	0.21	77.61	83	0.041	0.049	0.055	29917
Cherries, sweet, canned, water pack, solids and liquids	Fruits and Fruit Juices	0.77	0.011	0.001	1.5	0.0022	0.131	11.76	10.26	0.13	87.05	46	0.028	0.034	0.038	29918
Cherries, sweet, frozen, sweetened	Fruits and Fruit Juices	1.15	0.012	0.001	2.1	0.001	0.199	22.36	20.26	0.13	75.53	89	0.03	0.036	0.04	29919
Cherries, sweet, raw	Fruits and Fruit Juices	1.06	0.013	0	2.1	0.007	0.222	16.01	12.82	0.2	82.25	63	0.038	0.047	0.052	29920
Cranberries, dried, sweetened	Fruits and Fruit Juices	0.07	0.01	0.003	5.7	0.0002	0.04	82.36	65	1.37	16	308	0.103	0.198	0.658	29923
Cranberries, raw	Fruits and Fruit Juices	0.39	0.008	0.002	4.6	0.0133	0.085	12.2	4.04	0.13	87.13	46	0.011	0.018	0.055	29924
Cranberry juice, unsweetened	Fruits and Fruit Juices	0.39	0.008	0.002	0.1	0.0093	0.077	12.2	12.1	0.13	87.13	46	0.01	0.023	0.07	29925
Cranberry sauce, canned, sweetened	Fruits and Fruit Juices	0.2	0.004	0.029	1	0.002	0.026	38.9	37.9	0.15	60.65	151	0.013	0.021	0.066	29926
Currants, red and white, raw	Fruits and Fruit Juices	1.4	0.033	0.001	4.3	0.041	0.275	13.8	7.37	0.2	83.95	56	0.017	0.028	0.088	29929
Currants, zante, dried	Fruits and Fruit Juices	4.08	0.086	0.008	6.8	0.0047	0.892	74.08	67.28	0.27	19.21	283	0.028	0.047	0.18	29930
Dates, deglet noor	Fruits and Fruit Juices	2.45	0.039	0.002	8	0.0004	0.656	75.03	63.35	0.39	20.53	282	0.032	0.036	0.019	29932
Feijoa, raw	Fruits and Fruit Juices	0.98	0.017	0.003	6.4	0.0329	0.172	12.92	8.2	0.6	84.94	55	0.148	0.081	0.194	29936
Figs, canned, heavy syrup pack, solids and liquids	Fruits and Fruit Juices	0.38	0.027	0.001	2.2	0.001	0.099	22.9	20.7	0.1	76.33	88	0.02	0.022	0.048	29938
Figs, canned, light syrup pack, solids and liquids	Fruits and Fruit Juices	0.39	0.027	0.001	1.8	0.001	0.102	17.95	16.15	0.1	81.26	69	0.02	0.022	0.048	29939
Figs, canned, water pack, solids and liquids	Fruits and Fruit Juices	0.4	0.028	0.001	2.2	0.001	0.103	13.99	11.79	0.1	85.21	53	0.02	0.022	0.048	29940
Figs, dried, stewed	Fruits and Fruit Juices	1.42	0.07	0.004	4.2	0.0044	0.294	27.57	23.35	0.4	69.8	107	0.062	0.068	0.149	29941
Figs, dried, uncooked	Fruits and Fruit Juices	3.3	0.162	0.01	9.8	0.0012	0.68	63.87	47.92	0.93	30.05	249	0.144	0.159	0.345	29942
Figs, raw	Fruits and Fruit Juices	0.75	0.035	0.001	2.9	0.002	0.232	19.18	16.26	0.3	79.11	74	0.06	0.066	0.144	29943
Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, heavy syrup, solids and liquids	Fruits and Fruit Juices	0.39	0.006	0.006	1	0.0019	0.088	18.91	17.91	0.07	80.4	73	0.01	0.013	0.031	29946
Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, light syrup, solids and liquids	Fruits and Fruit Juices	0.4	0.006	0.006	1	0.0019	0.089	14.93	13.93	0.07	84.37	57	0.01	0.014	0.031	29948
Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, water pack, solids and liquids	Fruits and Fruit Juices	0.42	0.005	0.004	1	0.0021	0.094	8.51	7.51	0.05	90.76	32	0.006	0.009	0.02	29949
Fruit cocktail, canned, heavy syrup, drained	Fruits and Fruit Juices	0.47	0.007	0.006	1.7	0.0019	0.09	18.8	17.14	0.1	80.4	70	0.014	0.018	0.042	29950
Fruit salad, (peach and pear and apricot and pineapple and cherry), canned, heavy syrup, solids and liquids	Fruits and Fruit Juices	0.34	0.006	0.006	1	0.0024	0.08	19.11	18.11	0.07	80.26	73	0.01	0.014	0.031	29952
Grape juice cocktail, frozen concentrate, diluted with 3 volume water, with added ascorbic acid	Fruits and Fruit Juices	0.19	0.004	0.002	0.1	0.0239	0.021	12.75	12.65	0.09	86.9	51	0.029	0.004	0.026	29962
Grape juice cocktail, frozen concentrate, undiluted, with added ascorbic acid	Fruits and Fruit Juices	0.65	0.013	0.007	0.3	0.0831	0.074	44.37	44.07	0.31	54.4	179	0.103	0.013	0.092	29963
Grape juice, canned or bottled, unsweetened, with added ascorbic acid	Fruits and Fruit Juices	0.37	0.011	0.005	0.2	0.025	0.104	14.77	14.2	0.13	84.51	60	0.025	0.003	0.022	29964
Grape juice, canned or bottled, unsweetened, without added ascorbic acid	Fruits and Fruit Juices	0.37	0.011	0.005	0.2	0.0001	0.104	14.77	14.2	0.13	84.51	60	0.025	0.003	0.022	29965
Grapefruit juice, white, canned, sweetened	Fruits and Fruit Juices	0.58	0.008	0.002	0.1	0.0269	0.162	11.13	11.03	0.09	87.38	46	0.012	0.012	0.021	29967
Grapefruit juice, white, canned, unsweetened	Fruits and Fruit Juices	0.52	0.007	0.001	0.1	0.0292	0.153	8.96	8.86	0.1	90.1	38	0.013	0.013	0.023	29968
Grapefruit juice, white, frozen concentrate, unsweetened, diluted with 3 volume water	Fruits and Fruit Juices	0.55	0.008	0.001	0.1	0.0337	0.136	9.73	9.63	0.13	89.3	41	0.019	0.018	0.032	29969
Grapefruit juice, white, frozen concentrate, unsweetened, undiluted	Fruits and Fruit Juices	1.97	0.027	0.003	0.4	0.1198	0.484	34.56	34.16	0.48	62	146	0.064	0.063	0.113	29970
Grapefruit juice, white, raw	Fruits and Fruit Juices	0.5	0.009	0.001	0.1	0.038	0.162	9.2	9.1	0.1	90	39	0.014	0.013	0.024	29971
Grapefruit, raw, pink and red and white, all areas	Fruits and Fruit Juices	0.63	0.012	0	1.1	0.0344	0.139	8.08	6.98	0.1	90.89	32	0.014	0.013	0.024	29972
Grapefruit, raw, pink and red, all areas	Fruits and Fruit Juices	0.77	0.022	0	1.6	0.0312	0.135	10.66	6.89	0.14	88.06	42	0.021	0.02	0.036	29975
Grapefruit, raw, white, all areas	Fruits and Fruit Juices	0.69	0.012	0	1.1	0.0333	0.148	8.41	7.31	0.1	90.48	33	0.014	0.013	0.024	29978
Grapefruit, sections, canned, juice pack, solids and liquids	Fruits and Fruit Juices	0.7	0.015	0.007	0.4	0.0339	0.169	9.21	8.8	0.09	89.67	37	0.012	0.012	0.021	29979
Grapefruit, sections, canned, light syrup pack, solids and liquids	Fruits and Fruit Juices	0.56	0.014	0.002	0.4	0.0213	0.129	15.44	15.04	0.1	83.59	60	0.014	0.013	0.024	29980
Grapefruit, sections, canned, water pack, solids and liquids	Fruits and Fruit Juices	0.58	0.015	0.002	0.4	0.0218	0.132	9.15	8.75	0.1	89.85	36	0.014	0.014	0.024	29981
Grapes, american type (slip skin), raw	Fruits and Fruit Juices	0.63	0.014	0.002	0.9	0.004	0.191	17.15	16.25	0.35	81.3	67	0.114	0.014	0.102	29982
Grapes, canned, thompson seedless, heavy syrup pack, solids and liquids	Fruits and Fruit Juices	0.48	0.01	0.005	0.6	0.001	0.103	19.65	19.05	0.1	79.53	76	0.033	0.004	0.03	29983
Grapes, canned, thompson seedless, water pack, solids and liquids	Fruits and Fruit Juices	0.5	0.01	0.006	0.6	0.001	0.107	10.3	9.7	0.11	88.84	40	0.035	0.004	0.031	29984
Grapes, red or green (European type, such as Thompson seedless), raw	Fruits and Fruit Juices	0.72	0.01	0.002	0.9	0.0108	0.191	18.1	15.48	0.16	80.54	69	0.054	0.007	0.048	29986
Guanabana nectar, canned	Fruits and Fruit Juices	0.11	0.007	0.008	0.1	0.0111	0.025	14.93	13.07	0.17	84.72	59	0.029	0.051	0.039	29988
Guava sauce, cooked	Fruits and Fruit Juices	0.32	0.007	0.004	3.6	0.1464	0.225	9.48	5.88	0.14	89.56	36	0.04	0.013	0.059	29990
Guavas, common, raw	Fruits and Fruit Juices	2.55	0.018	0.002	5.4	0.2283	0.417	14.32	8.92	0.95	80.8	68	0.272	0.087	0.401	29991
Jackfruit, raw	Fruits and Fruit Juices	1.72	0.024	0.002	1.5	0.0137	0.448	23.25	19.08	0.64	73.46	95	0.195	0.155	0.094	29995
Juice, apple, grape and pear blend, with added ascorbic acid and calcium	Fruits and Fruit Juices	0.17	0.072	0.005	0.2	0.0507	0.089	12.96	9.95	0.12	86.44	52	0.021	0.005	0.04	29998
Kiwifruit, gold, raw	Fruits and Fruit Juices	1.23	0.02	0.003	2	0.1054	0.316	14.23	10.98	0.56	83.22	60	0.149	0.036	0.207	30001
Kiwifruit, green, raw	Fruits and Fruit Juices	1.14	0.034	0.003	3	0.0927	0.312	14.66	8.99	0.52	83.07	61	0.029	0.047	0.287	30002
Kumquats, raw	Fruits and Fruit Juices	1.88	0.062	0.01	6.5	0.0439	0.186	15.9	9.36	0.86	80.85	71	0.103	0.154	0.171	30003
Lemon juice, canned or bottled	Fruits and Fruit Juices	0.4	0.011	0.021	0.4	0.0248	0.102	6.48	2.4	0.29	92.46	21	0.038	0.011	0.085	30004
Lemon juice, frozen, unsweetened, single strength	Fruits and Fruit Juices	0.46	0.008	0.001	0.4	0.0315	0.089	6.5	2.4	0.32	92.39	22	0.043	0.012	0.097	30005
Lemon juice, raw	Fruits and Fruit Juices	0.35	0.006	0.001	0.3	0.0387	0.103	6.9	2.52	0.24	92.31	22	0.04	0.006	0.021	30006
Lemon peel, raw	Fruits and Fruit Juices	1.5	0.134	0.006	10.6	0.129	0.16	16	4.17	0.3	81.6	47	0.039	0.011	0.089	30007
Lemons, raw, without peel	Fruits and Fruit Juices	1.1	0.026	0.002	2.8	0.053	0.138	9.32	2.5	0.3	88.98	29	0.039	0.011	0.089	30008
Lime juice, canned or bottled, unsweetened	Fruits and Fruit Juices	0.25	0.012	0.016	0.4	0.0064	0.075	6.69	1.37	0.23	92.52	21	0.026	0.022	0.064	30009
